town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Lawrence,Haverhill,0.0,58,pct_graduated_low,72.8,Lawrence-Haverhill
Marblehead,Danvers,0.0,59,pct_graduated_low,95.1,Marblehead-Danvers
Swampscott,Lynnfield,0.0,60,pct_graduated_low,95.7,Swampscott-Lynnfield
Swampscott,Danvers,0.0,61,pct_graduated_low,95.7,Swampscott-Danvers
Ipswich,Georgetown,0.0,62,pct_graduated_low,90.8,Ipswich-Georgetown
Lynn,Danvers,0.0,63,pct_graduated_low,79.0,Lynn-Danvers
Amesbury,Newbury,0.0,64,pct_graduated_low,87.9,Amesbury-Newbury
Haverhill,Georgetown,0.0,65,pct_graduated_low,80.4,Haverhill-Georgetown
Ipswich,Middleton,0.0,66,pct_graduated_low,90.8,Ipswich-Middleton
Merrimac,North Andover,0.0,67,pct_graduated_low,94.7,Merrimac-North Andover
Beverly,Lynnfield,0.0,68,pct_graduated_low,91.0,Beverly-Lynnfield
Newburyport,Georgetown,0.0,69,pct_graduated_low,94.6,Newburyport-Georgetown
Saugus,Marblehead,0.0,70,pct_graduated_low,87.7,Saugus-Marblehead
Marblehead,Manchester,0.0,71,pct_graduated_low,95.1,Marblehead-Manchester
Lawrence,Georgetown,0.0,72,pct_graduated_low,72.8,Lawrence-Georgetown
Danvers,Manchester,0.0,73,pct_graduated_low,95.8,Danvers-Manchester
Ipswich,Danvers,0.0,74,pct_graduated_low,90.8,Ipswich-Danvers
Ipswich,Manchester,0.0,75,pct_graduated_low,90.8,Ipswich-Manchester
Peabody,Hamilton,0.0,76,pct_graduated_low,88.0,Peabody-Hamilton
Ipswich,Beverly,0.0,77,pct_graduated_low,90.8,Ipswich-Beverly
Newbury,Hamilton,0.0,78,pct_graduated_low,89.5,Newbury-Hamilton
Methuen,Groveland,0.0,79,pct_graduated_low,93.2,Methuen-Groveland
Rowley,Topsfield,0.0,80,pct_graduated_low,89.5,Rowley-Topsfield
Gloucester,Hamilton,0.0,81,pct_graduated_low,83.7,Gloucester-Hamilton
Ipswich,Newburyport,0.0,82,pct_graduated_low,90.8,Ipswich-Newburyport
Salem,Middleton,0.0,83,pct_graduated_low,73.9,Salem-Middleton
Middleton,North Andover,0.0,84,pct_graduated_low,95.9,Middleton-North Andover
Marblehead,Lynnfield,0.0,85,pct_graduated_low,95.1,Marblehead-Lynnfield
Amesbury,Georgetown,0.0,86,pct_graduated_low,87.9,Amesbury-Georgetown
Salem,Hamilton,0.0,87,pct_graduated_low,73.9,Salem-Hamilton
